tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-43,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-3792,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-293,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-636,Ld Pickup 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-222,LOB-5
TAG-3334,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-251,LOB-5
TAG-4302,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-399,LOB-5
TAG-4159,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-207,LOB-5
TAG-691,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-255,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-196,LOB-5
TAG-379,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-251,LOB-5
TAG-662,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-251,LOB-5
TAG-4394,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-289,LOB-5
TAG-3611,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-72,LOB-5
TAG-2521,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1209,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1562,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1904,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-2162,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-207,LOB-5
TAG-4274,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-344,LOB-5
TAG-966,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-425,LOB-5
